Company,"PNP ID","Approved on Date"
"21ST CENTURY ENTERTAINMENT",BUT,04/25/2002
"2-Tel B.V",TTL,03/20/1999
"3Com Corporation",TCM,11/29/1996
"3D Perception",TDP,05/16/2002
3M,VSD,10/16/1998
"3NOD Digital Technology Co. Ltd.",NOD,2014/11/12
"A D S Exports",NGS,07/16/1998
"A Plus Info Corporation",API,11/29/1996
"A&R Cambridge Ltd.",ACG,06/13/2007
"A/Vaux Electronics",AVX,08/29/2012
"A+V Link",APV,01/27/2010
"Aashima Technology B.V.",TRU,1998/08/05
"Aava Mobile Oy",AAM,08/13/2013
"ABBAHOME INC.",ABA,1999/08/11
"Abeam Tech Ltd.",MEG,11/29/1996
"Ably-Tech Corporation",ATC,11/29/1996
"AboCom System Inc.",ABC,03/28/1997
"ACC Microelectronics",WTC,11/29/1996
"Access Works Comm Inc",AWC,11/29/1996
"Acco UK Ltd.",PKA,2003/12/05
"Accton Technology Corporation",ACC,11/29/1996
Acculogic,ACU,11/29/1996
"AccuScene Corporation Ltd",ASL,06/13/2007
"Ace CAD Enterprise Company Ltd",ANT,11/29/1996
"Acer Inc",CHE,11/29/1996
"Acer Labs",ALI,11/29/1996
"Acer Netxus Inc",ANX,11/29/1996
"Acer Technologies",ACR,11/29/1996
Acksys,ACK,11/29/1996
"Acnhor Datacomm",ADC,11/29/1996
Acon,CAL,11/29/1996
"Acrolink Inc",ALK,1997/12/03
"Acroloop Motion Control Systems Inc",ACM,03/26/1998
"ACT Labs Ltd",LAB,1997/02/09
"Actek Engineering Pty Ltd",ACE,11/29/1996
"Actiontec Electric Inc",AEI,11/29/1996
"ActivCard S.A",ACV,1998/08/05
"Aculab Ltd",ACB,11/29/1996
"Acutec Ltd.",ALM,1999/08/11
"AD electronics",GLE,04/19/2000
"Ad Lib MultiMedia Inc",ADM,04/23/1998
"Adaptec Inc",ADP,11/29/1996
"Adax Inc",ADX,11/29/1996
ADC-Centre,RSH,1999/08/11
"Add Value Enterpises (Asia) Pte Ltd",AVE,1999/10/01
"Addi-Data GmbH",ADA,11/29/1996
"ADI Systems Inc",ADI,11/29/1996
"ADPM Synthesis sas",DPM,2000/10/08
"Adrienne Electronics Corporation",AXB,1997/07/10
Adtek,ADT,11/29/1996
"Adtek System Science Company Ltd",ADK,11/29/1996
"ADTI Media, Inc",FLE,09/15/2009
"Adtran Inc",AND,11/29/1996
"Advan Int'l Corporation",AGM,05/26/1998
"Advance Computer Corporation",AVN,2010/10/06
"Advanced Digital Systems",MSM,11/29/1996
"Advanced Electronic Designs, Inc.",AED,2004/12/07
"Advanced Engineering",RJS,06/25/1998
"Advanced Gravis",GRV,11/29/1996
"Advanced Integ. Research Inc",AIR,11/29/1996
"Advanced Logic",ALR,11/29/1996
"Advanced Micro Devices Inc",ADV,11/29/1996
"Advanced Micro Peripherals Ltd",EVE,11/18/2011
"Advanced Optics Electronics, Inc.",AOE,04/20/2004
"Advanced Peripheral Devices Inc",ADD,11/29/1996
"Advanced Research Technology",ABV,01/16/1997
"Advanced Signal Processing Technologies",PSA,09/13/1999
"Advantech Co., Ltd.",AHC,06/13/2007
"Aerodata Holdings Ltd",ADH,1997/11/11
"Aetas Peripheral International",AEP,1999/08/11
"Aethra Telecomunicazioni S.r.l.",AET,12/13/1996
"Agentur Chairos",CHS,03/15/2001
"Agilent Technologies",AGT,2001/08/10
"Ahead Systems",ASI,11/29/1996
"AIMS Lab Inc",AIM,03/13/1998
"Airlib, Inc",AYR,02/21/2000
"Aironet Wireless Communications, Inc",AWL,1998/11/08
"Aiwa Company Ltd",AIW,11/29/1996
"AJA Video Systems, Inc.",AJA,2007/11/10
"AKAMI Electric Co.,Ltd",AKE,2010/03/09
"Akebia Ltd",AKB,11/29/1996
"AKIA Corporation",AKI,12/23/1998
"AL Systems",ALH,01/20/1999
"Alacron Inc",ALA,11/29/1996
"Alana Technologies",ALN,01/13/2000
Alcatel,AOT,2001/06/11
"Alcatel Bell",ABE,11/29/1996
Aldebbaron,ADB,03/15/2001
"Alenco BV",ALE,05/20/2014
"ALEXON Co.,Ltd.",ALX,09/13/1999
"Alfa Inc",AFA,11/29/1996
"Algolith Inc.",ALO,2005/02/05
"AlgolTek, Inc.",AGO,10/23/2013
"Alien Internet Services",AIS,06/21/2001
"Allen Bradley Company",ABD,11/29/1996
"Alliance Semiconductor Corporation",ALL,11/29/1996
"Allied Telesis KK",ATI,11/29/1996
"Allied Telesyn International (Asia) Pte Ltd",ATA,1997/10/11
"Allied Telesyn Int'l",ATK,11/29/1996
"Allion Computer Inc.",ACO,10/23/2000
"Alpha Data",XAD,2009/08/10
"Alpha Telecom Inc",ATD,09/26/1997
"Alpha-Top Corporation",ATP,1996/04/12
"AlphaView LCD",ALV,2008/01/11
"Alpine Electronics, Inc.",APE,01/22/2013
"Alps Electric Company Ltd",ALP,11/29/1996
"Alps Electric Inc",AUI,11/29/1996
"Alta Research Corporation",ARC,11/29/1996
"Altec Corporation",ALC,1998/04/08
"Altec Lansing",ALJ,01/13/2000
"ALTINEX, INC.",AIX,04/24/2001
"Altmann Industrieelektronik",AIE,11/29/1996
"Altos Computer Systems",ACS,11/29/1996
"Altos India Ltd",AIL,11/29/1996
"Alvedon Computers Ltd",CNC,1998/06/11
"Ambient Technologies, Inc.",AMB,05/16/1999
Altra,ALT,11/29/1996
"Amdek Corporation",AMD,11/29/1996
"America OnLine",AOL,11/29/1996
"American Biometric Company",YOW,05/16/1999
"American Express",AXP,07/16/1999
"American Magnetics",AXI,03/15/2001
"American Megatrends Inc",AMI,11/29/1996
"American Nuclear Systems Inc",MCA,1997/12/02
"American Power Conversion",CNB,03/15/2001
"American Power Conversion",APC,11/29/1996
"Amimon LTD.",AMN,06/13/2007
"Amino Technologies PLC and Amino Communications Limited",AMO,2011/09/12
"AMiT Ltd",AKL,1997/02/12
"AMP Inc",AMP,11/29/1996
"Amptron International Inc.",AII,05/24/2000
"AMT International Industry",AMT,11/29/1996
"AmTRAN Technology Co., Ltd.",AMR,2013/10/06
"AMX LLC",AMX,2008/06/07
Anakron,ANA,1999/08/11
"Analog & Digital Devices Tel. Inc",ADN,03/14/1997
"Analog Devices Inc",ADS,11/29/1996
"Analog Way SAS",ANW,01/22/2014
"Analogix Semiconductor, Inc",ANL,2005/10/10
"Anchor Bay Technologies, Inc.",ABT,02/14/2006
"Anatek Electronics Inc.",AAE,05/25/2004
"Ancor Communications Inc",ACI,11/29/1996
Ancot,ANC,11/29/1996
"Anderson Multimedia Communications (HK) Limited",AML,2003/03/01
"Andrew Network Production",ANP,11/29/1996
"Anigma Inc",ANI,11/29/1996
"Anko Electronic Company Ltd",ANK,03/24/1998
"Ann Arbor Technologies",AAT,04/24/2001
"an-najah university",BBB,03/15/2001
"Anorad Corporation",ANO,01/13/2000
"ANR Ltd",ANR,11/29/1996
"Ansel Communication Company",ANS,11/29/1996
"Antex Electronics Corporation",AEC,11/29/1996
"AOpen Inc.",AOA,2001/06/11
"AP Designs Ltd",APX,1997/08/12
"Apache Micro Peripherals Inc",DNG,1997/11/11
"Aplicom Oy",APL,2005/02/05
"Appian Tech Inc",APN,11/29/1996
"Apple Computer Inc",APP,11/29/1996
AppliAdata,APD,11/29/1996
"Applied Creative Technology",ACT,11/29/1996
"Applied Memory Tech",APM,11/29/1996
"Apricot Computers",ACL,11/29/1996
"Aprilia s.p.a.",APR,02/22/1999
"ArchiTek Corporation",ATJ,01/22/2014
"Archtek Telecom Corporation",ACH,01/15/1997
"Arcus Technology Ltd",ATL,11/29/1996
"AREC Inc.",ARD,2013/08/07
"Arescom Inc",ARS,11/29/1996
Argolis,AGL,03/15/2001
"Argosy Research Inc",ARI,02/24/1997
"Argus Electronics Co., LTD",ARG,2004/04/06
"Ariel Corporation",ACA,12/13/1996
Arima,ARM,2004/07/04
"Arithmos, Inc.",ADE,07/16/1999
"Ark Logic Inc",ARK,11/29/1996
"Arlotto Comnet Inc",ARL,04/29/1997
"ARMSTEL, Inc.",AMS,02/25/2011
"Arnos Insturments & Computer Systems",AIC,11/29/1996
"ARRIS Group, Inc.",ARR,01/27/2015
"ART s.r.l.",IMB,01/27/2012
"Artish Graphics Inc",AGI,11/29/1996
Arvanics,NPA,2015/05/03
"Asahi Kasei Microsystems Company Ltd",AKM,11/29/1996
"Asante Tech Inc",ASN,11/29/1996
"Ascom Business Systems",HER,01/20/1999
"Ascom Strategic Technology Unit",ASC,11/29/1996
"ASEM S.p.A.",ASM,03/15/2001
"ASEM S.p.A.",AEM,11/29/1996
"AseV Display Labs",ASE,10/16/1998
"Ashton Bentley Concepts",ASH,09/20/2013
"Asia Microelectronic Development Inc",AMA,09/24/1997
"Ask A/S",ASK,11/29/1996
"Askey Computer Corporation",DYN,07/22/1997
"ASP Microelectronics Ltd",ASP,11/29/1996
"Askey Computer Corporation",AKY,1997/02/04
"Aspen Tech Inc",ACP,11/29/1996
"AST Research Inc",AST,11/29/1996
"Astec Inc",JAC,11/29/1996
"ASTRA Security Products Ltd",ADL,07/30/1997
"ASTRO DESIGN, INC.",ATO,2003/06/06
"Asuscom Network Inc",ASU,11/29/1996
AT&T,ATT,11/29/1996
"AT&T Global Info Solutions",GIS,11/29/1996
"AT&T Microelectronics",HSM,11/29/1996
"AT&T Microelectronics",TME,11/29/1996
"AT&T Paradyne",PDN,11/29/1996
"Atelier Vision Corporation",AVJ,02/24/2015
"Athena Informatica S.R.L.",ATH,01/29/1997
"Athena Smartcard Solutions Ltd.",ATN,09/13/1999
"Athenix Corporation",ATX,11/29/1996
"ATI Tech Inc",BUJ,11/29/1996
Atlantis,CFG,11/29/1996
"ATM Ltd",ATM,11/29/1996
"Atom Komplex Prylad",AKP,10/23/2000
"Attachmate Corporation",AMC,11/29/1996
"Attero Tech, LLC",FWA,04/20/2010
"Audio Processing Technology Ltd",APT,03/18/1997
AudioScience,ASX,11/29/1996
"August Home, Inc.",AUG,2014/11/06
"Auravision Corporation",AVC,11/29/1996
"Aureal Semiconductor",AUR,11/29/1996
"Autologic Inc",APS,11/29/1996
"automated computer control systems",CLT,09/13/1999
"Autotime Corporation",AUT,2001/08/10
"Auvidea GmbH",AUV,04/21/2014
"Avalue Technology Inc.",AVL,11/18/2011
"Avance Logic Inc",ALS,11/29/1996
"Avaya Communication",AVA,03/15/2001
Avencall,AEN,01/27/2012
"AVer Information Inc.",AVR,2010/07/05
"Avid Electronics Corporation",AVD,11/29/1996
"AVM GmbH",AVM,11/29/1996
"Avolites Ltd",AAA,02/17/2012
"Avocent Corporation",AVO,10/23/2000
"Avtek (Electronics) Pty Ltd",AVT,11/29/1996
"AWETA BV",ACD,01/20/1998
Axel,AXL,11/29/1996
"AXIOMTEK CO., LTD.",AXC,2005/02/05
"Axonic Labs LLC",AXO,06/21/2012
"Axtend Technologies Inc",AXT,1997/01/12
"Axxon Computer Corporation",AXX,11/29/1996
"AXYZ Automation Services, Inc",AXY,1998/11/08
"Aydin Displays",AYD,06/13/2007
"AZ Middelheim - Radiotherapy",AZM,11/14/2003
"Aztech Systems Ltd",AZT,11/29/1996
B&Bh,BBH,01/17/2003
"B.& V. s.r.l.",SMR,03/21/1997
"B.F. Engineering Corporation",BFE,11/29/1996
"B.U.G., Inc.",BUG,08/30/2011
"Bang & Olufsen",BNO,05/16/2003
"Banksia Tech Pty Ltd",BNK,11/29/1996
Banyan,BAN,11/29/1996
BARC,BRC,2000/10/08
"Barco Display Systems",BDS,09/13/1999
"Barco GmbH",BCD,2011/07/03
"Barco Graphics N.V",BGB,11/29/1996
"Barco, N.V.",BPS,2000/12/09
"Barco, N.V.",DDS,10/23/2000
"Baug & Olufsen",BEO,11/29/1996
"Beaver Computer Corporaton",BCC,11/29/1996
"Beckhoff Automation",BEC,04/25/2002
"Beckworth Enterprises Inc",BEI,07/16/1997
"Beijing Aerospace Golden Card Electronic Engineering Co.,Ltd.",AGC,06/21/2001
"Beijing AnHeng SecoTech Information Technology Co., Ltd.",AHS,03/24/2015
"Beijing ANTVR Technology Co., Ltd.",ANV,08/24/2015
"Beijing Northern Radiantelecom Co.",NRT,03/20/1999
"Beko Elektronik A.S.",BEK,06/15/2005
"Beltronic Industrieelektronik GmbH",BEL,2006/05/09
"Benson Medical Instruments Company",BMI,1996/04/12
"Bernecker & Rainer Ind-Eletronik GmbH",BUR,11/29/1996
"Best Buy",INZ,2004/04/06
"Best Buy",VPR,05/16/2002
"Best Power",BPU,11/29/1996
"Biamp Systems Corporation",BIA,05/14/2015
"BICC Data Networks Ltd",ICC,11/29/1996
"Big Island Communications",BIC,05/13/1997
"Billion Electric Company Ltd",BIL,1996/11/12
"BioLink Technologies",BLN,2000/10/08
"BioLink Technologies International, Inc.",BIO,05/24/2000
"BIOMED Lab",BML,05/22/1997
"Biomedical Systems Laboratory",BSL,10/16/1997
BIOMEDISYS,BMS,05/24/2000
"Biometric Access Corporation",BAC,05/19/1998
"BioTao Ltd",BTO,03/21/2012
"Bit 3 Computer",BIT,11/29/1996
"Bit 3 Computer",BTC,11/29/1996
"Bitfield Oy",BTF,11/29/1996
"BitHeadz, Inc.",BHZ,09/29/2003
"Bitworks Inc.",BWK,2003/10/07
"Blackmagic Design",BMD,09/13/2012
"Blonder Tongue Labs, Inc.",BDR,09/16/2008
"Bloomberg L.P.",BLP,09/16/2008
"Boca Research Inc",ZZZ,02/13/1997
"Boca Research Inc",BRI,11/29/1996
"BodySound Technologies, Inc.",BST,2008/12/03
"Boeckeler Instruments Inc",BII,10/17/1996
"Booria CAD/CAM systems",BCS,2005/11/05
BOS,BOS,1997/03/07
"Bose Corporation",BSE,2006/05/09
"Boulder Nonlinear Systems",BNS,2008/12/03
"Braemac Pty Ltd",BRA,11/18/2010
"Braemar Inc",BRM,1997/07/10
"Brahler ICS",BDO,1998/04/06
"Brain Boxes Limited",BBL,2001/02/10
"Bridge Information Co., Ltd",BRG,1998/11/08
"BRIGHTSIGN, LLC",BSN,02/28/2012
"Brilliant Technology",BTE,11/29/1996
"Broadata Communications Inc.",BCI,11/19/2013
Broadcom,BCM,2004/01/04
"BROTHER INDUSTRIES,LTD.",BRO,02/21/2000
"BTC Korea Co., Ltd",NFC,02/25/2002
"Budzetron Inc",BGT,11/29/1996
Bull,BUL,1998/03/02
"Bull AB",BNE,1998/06/10
Busicom,BLI,1998/11/08
"BusTech Inc",BTI,11/29/1996
BusTek,BUS,11/29/1996
"Butterfly Communications",FLY,1997/05/05
"Buxco Electronics",BXE,11/29/1996
"byd:sign corporation",BYD,2008/10/04
"C3PO S.L.",XMM,1998/03/03
"CA & F Elettronica",CAC,05/16/1999
"Cabletime Ltd",CBT,2010/04/05
"Cabletron System Inc",CSI,11/29/1996
Cache,CCI,11/29/1996
CalComp,CAG,11/29/1996
CalComp,CDP,11/29/1996
"Calibre UK Ltd",CUK,09/15/2005
"California Institute of Technology",CSO,03/20/1999
"Cambridge Audio",CAM,2008/09/08
"Cambridge Electronic Design Ltd",CED,11/29/1996
"Cambridge Research Systems Ltd",CMR,04/25/2002
"Canon Inc",CNN,11/29/1996
"Canon Inc.",CAI,2001/06/11
"Canonical Ltd.",UBU,05/24/2013
"Canopus Company Ltd",CAN,11/29/1996
"Capella Microsystems Inc.",CPM,2012/09/05
"Capetronic USA Inc",CCP,11/29/1996
"Capstone Visua lProduct Development",DJE,2008/09/10
"Cardinal Company Ltd",CAR,11/29/1996
"Cardinal Technical Inc",CRD,11/29/1996
CardLogix,CLX,03/15/2001
"Carina System Co., Ltd.",CKJ,2010/03/09
"Carl Zeiss AG",CZE,2009/03/06
"CASIO COMPUTER CO.,LTD",CAS,1998/06/10
"Castles Automation Co., Ltd",CAA,01/13/2000
"Cavium Networks, Inc",CAV,2011/02/02
"C-C-C Group Plc",FVX,1998/04/05
CCL/ITRI,CCL,03/31/1997
"C-Cube Microsystems",CCC,11/29/1996
C-DAC,CEP,11/29/1996
"Cebra Tech A/S",CBR,11/29/1996
"Cefar Digital Vision",CEF,02/19/1997
"Centurion Technologies P/L",CEN,10/23/2000
"Century Corporation",TCE,11/29/1996
"Cerevo Inc.",CRV,07/13/2010
Ceronix,CER,2008/02/09
"Ceton Corporation",TOM,2014/08/05
"CH Products",CHP,04/24/1997
"ChangHong Electric Co.,Ltd",CHD,11/30/2001
"Chase Research PLC",CHA,11/29/1996
"Cherry GmbH",CHY,05/16/1999
"Chi Mei Optoelectronics corp.",CMO,03/15/2001
"CHIC TECHNOLOGY CORP.",CHM,07/16/1999
"Chicony Electronics Company Ltd",CEC,11/29/1996
"Chimei Innolux Corporation",CMN,2010/02/09
"China Hualu Group Co., Ltd.",HLG,05/13/2013
Chloride-R&D,CHL,11/29/1996
"Christie Digital Systems Inc",CDG,04/24/2001
"Chromatec Video Products Ltd",CVP,2013/09/08
"Chrontel Inc",CHI,11/29/1996
"Chunghwa Picture Tubes,LTD.",CHT,03/15/2001
"Chunghwa Telecom Co., Ltd.",CTE,05/16/2002
"Chunichi Denshi Co.,LTD.",KCD,12/23/2010
"Chuomusen Co., Ltd.",QQQ,2002/07/08
"Chyron Corp",CGS,11/13/2008
Cine-tal,CNE,06/13/2007
"Cipher Systems Inc",PTG,11/29/1996
"Ciprico Inc",CIP,11/29/1996
"Ciprico Inc",CPC,11/29/1996
"Cirel Systemes",FPX,11/29/1996
"Cirque Corporation",CRQ,11/29/1996
"Cirrus Logic Inc",CIR,11/29/1996
"Cirrus Logic Inc",CLI,11/29/1996
"Cirtech (UK) Ltd",SNS,08/20/1997
"CIS Technology Inc",WSC,11/29/1996
"Cisco Systems Inc",CIS,11/29/1996
"Citicom Infotech Private Limited",CIL,2000/10/08
"Citifax Limited",CIT,07/16/1997
"Citron GmbH",CIN,07/28/2005
"Clarion Company Ltd",CLA,11/29/1996
"Clarity Visual Systems",CVS,01/13/2000
"Classe Audio",CLE,02/16/2006
"Clevo Company",CLV,01/30/1998
"Clinton Electronics Corp.",PPM,2003/01/10
"Clone Computers",CLO,11/29/1996
"Cloudium Systems Ltd.",CSL,02/14/2013
"CMC Ltd",CMC,11/29/1996
"C-Media Electronics",CMI,11/29/1996
"CNet Technical Inc",JQE,11/29/1996
"COBY Electronics Co., Ltd",COB,06/13/2007
"CODAN Pty. Ltd.",COD,10/23/2000
"Codec Inc.",COI,11/30/2001
"Codenoll Technical Corporation",CDN,11/29/1996
"COINT Multimedia Systems",CNT,03/20/1999
Colin.de,CDE,01/18/2005
"Colorado MicroDisplay, Inc.",CMD,03/20/1999
"Colorado Video, Inc.",CVI,08/15/2012
"COM 1",MVX,11/29/1996
"Comex Electronics AB",CMX,05/28/2004
"Comm. Intelligence Corporation",CIC,11/29/1996
"COMMAT L.t.d.",CLD,2000/10/08
"Communications Specialies, Inc.",SDH,2005/06/09
"Communications Supply Corporation (A division of WESCO)",INX,2012/07/11
"Compal Electronics Inc",CPL,11/29/1996
"Compaq Computer Company",CPQ,11/29/1996
"Compound Photonics",CPP,2013/01/10
CompuAdd,CPD,11/29/1996
"CompuMaster Srl",CMS,02/22/1999
"Computer Diagnostic Systems",CDS,03/15/2001
"Computer Peripherals Inc",CPI,11/29/1996
"Computer Technology Corporation",CTP,03/26/1998
"ComputerBoards Inc",CBI,1998/03/02
"Computerm Corporation",CTM,11/29/1996
"Computone Products",CTN,11/29/1996
Comrex,COX,10/18/2011
"Comtec Systems Co., Ltd.",CTS,04/25/2002
"Comtime GmbH",CMM,09/23/2002
"Comtrol Corporation",COM,11/29/1996
"Concept Development Inc",CDI,11/29/1996
"Concept Solutions & Engineering",CSE,1996/11/12
"Concepts Inc",DCI,11/29/1996
"Conexant Systems",CXT,01/20/1999
"congatec AG",CGT,06/16/2011
"Connect Int'l A/S",CNI,11/29/1996
"Connectware Inc",CWR,11/29/1996
"CONRAC GmbH",CRC,04/20/2004
"Consultancy in Advanced Technology",CAT,09/19/1997
"Consumer Electronics Association",CEA,2006/05/09
"CONTEC CO.,LTD.",CCJ,2000/10/08
"Contec Company Ltd",CON,11/29/1996
"Contemporary Research Corp.",CRH,02/24/2015
"Control4 Corporation",CTR,05/28/2014
"Convergent Data Devices",CDD,02/27/2004
"Convergent Design Inc.",CDV,2006/05/09
"Core Dynamics Corporation",CDC,11/29/1996
"Corion Industrial Corporation",ART,11/29/1996
"Core Technology Inc",COT,04/19/2000
CoreLogic,CLG,11/27/1998
"Cornerstone Imaging",CRN,11/29/1996
"Corollary Inc",COR,12/13/1996
"Cosmic Engineering Inc.",CSM,04/18/2012
"CoStar Corporation",COS,11/29/1996
"CoSystems Inc",CTA,10/24/1998
"Covia Inc.",CVA,2010/11/05
cPATH,CPT,1998/09/03
"CRALTECH ELECTRONICA, S.L.",CRA,03/24/2015
"Cray Communications",CDK,11/29/1996
"CRE Technology Corporation",IOA,06/30/1997
"Creative Labs Inc",CRE,11/29/1996
"Creative Logic",CRL,10/16/1997
"Creative Technology Ltd",CTL,11/29/1996
"Creatix Polymedia GmbH",CTX,11/29/1996
"Crescendo Communication Inc",CRS,11/29/1996
"Cresta Systems Inc",CSD,1997/01/08
"Crestron Electronics, Inc.",CEI,2006/08/05
"Crio Inc.",CRI,09/13/1999
"Cromack Industries Inc",CII,01/22/1997
"Crystal Computer",XTL,11/29/1996
"Crystal Semiconductor",CSC,11/29/1996
"CrystaLake Multimedia",CLM,11/29/1996
"CSS Laboratories",CSS,1997/02/01
"CSTI Inc",CST,11/29/1996
"CTC Communication Development Company Ltd",CTC,10/21/1997
"Cubix Corporation",CUB,11/29/1996
"Curtiss-Wright Controls, Inc.",CWC,2013/05/04
Cyberlabs,CYL,04/14/1998
CyberVision,CYB,05/13/1997
Cyberware,CYW,02/21/2000
"Cybex Computer Products Corporation",CBX,1999/08/11
"Cyclades Corporation",CYD,2001/07/05
"Cylink Corporation",CYC,11/29/1996
"Cyrix Corporation",CYX,10/21/1997
"Cyrix Corporation",CRX,03/21/1997
"Cytechinfo Inc",CYT,03/13/1998
"Cyviz AS",CYV,04/25/2002
"D&M Holdings Inc, Professional Business Company",DMP,2006/05/09
"D.N.S. Corporation",OPI,11/29/1996
"DA2 Technologies Corporation",DDA,03/13/2006
"DA2 Technologies Inc",DAW,2005/06/09
"Daewoo Electronics Company Ltd",DWE,11/29/1996
"Dai Telecom S.p.A.",TLT,2003/04/06
